LSOA code_2011,IDACI_Decile
E01022536,7
E01022537,10
E01022557,8
E01022558,8
E01022559,8
E01022488,5
E01022489,9
E01022499,10
E01022500,9
E01022513,5
E01022472,10
E01022473,7
E01022520,6
E01022521,10
E01022522,10
E01022490,9
E01022491,5
E01022492,10
E01022546,9
E01022547,10
E01022495,8
E01022496,9
E01022497,9
E01022498,8
E01022539,6
E01022540,3
E01022542,4
E01022543,3
E01032843,6
E01032844,6
E01032851,2
E01022470,10
E01022471,10
E01022494,7
E01022523,3
E01022524,3
E01022525,7
E01022526,5
E01022527,4
E01022566,7
E01022567,5
E01022568,3
E01022570,10
E01032840,5
E01032841,8
E01022502,9
E01022506,5
E01022507,6
E01032842,10
E01032847,5
E01022481,5
E01022482,4
E01022503,7
E01032845,9
E01032846,7
E01022484,2
E01022485,4
E01022486,4
E01022487,2
E01022569,9
E01022548,5
E01022549,2
E01022550,2
E01022551,5
E01022552,5
E01022528,10
E01022529,8
E01022530,10
E01022531,10
E01022475,7
E01022476,8
E01022480,5
E01022504,8
E01022505,10
E01022467,9
E01022468,9
E01022469,9
E01022561,9
E01022562,10
E01022515,8
E01022516,10
E01022517,10
E01022518,10
E01022519,10
E01022474,5
E01022477,7
E01022478,4
E01022479,3
E01022509,10
E01022514,9
E01022563,9
E01022564,9
E01022565,8
E01022510,9
E01022511,10
E01022512,10
E01032848,7
E01032849,8
E01032850,10
E01022532,10
E01022533,8
E01022534,9
E01022535,8
E01028000,9
E01028024,6
E01028025,2
E01028026,1
E01028027,3
E01028028,4
E01027999,8
E01028005,9
E01028031,3
E01028032,8
E01028035,6
E01028023,8
E01028034,7
E01028036,9
E01028001,1
E01028002,6
E01028003,4
E01028004,7
E01028029,2
E01028030,4
E01028013,8
E01028014,4
E01028015,7
E01028016,4
E01028046,5
E01028047,10
E01028048,7
E01028049,3
E01028050,7
E01028008,2
E01028009,9
E01028010,8
E01028011,3
E01028012,6
E01028022,5
E01028055,2
E01028056,3
E01028058,8
E01028059,9
E01028017,4
E01028018,5
E01028019,2
E01028020,3
E01028021,8
E01028057,1
E01028065,1
E01028066,1
E01028068,3
E01028060,9
E01028061,8
E01028062,3
E01028067,2
E01028040,5
E01028041,5
E01028043,6
E01028063,10
E01028064,3
E01028006,10
E01028007,7
E01028033,8
E01028037,8
E01028038,5
E01028039,9
E01028051,7
E01028052,9
E01028053,3
E01028054,10
E01028042,6
E01028044,2
E01028045,5
E01014399,5
E01014400,8
E01014401,3
E01014402,5
E01014403,8
E01014404,3
E01014395,10
E01014396,7
E01014397,9
E01014398,9
E01014409,5
E01014410,10
E01014411,8
E01014477,9
E01014478,3
E01014479,9
E01014480,3
E01014465,7
E01014466,5
E01014467,9
E01014468,8
E01014370,5
E01014371,8
E01014372,5
E01014412,10
E01014413,10
E01014414,4
E01014427,7
E01014428,10
E01014429,9
E01014430,9
E01014405,10
E01014407,1
E01033080,5
E01014373,6
E01014374,7
E01014375,10
E01014376,10
E01014377,10
E01033078,10
E01033079,9
E01014461,4
E01014462,2
E01014463,2
E01014464,2
E01014380,10
E01014381,9
E01014481,10
E01014482,10
E01014483,6
E01014484,9
E01014473,8
E01014474,7
E01014475,6
E01014476,8
E01014435,10
E01014436,8
E01014437,4
E01014438,5
E01014455,5
E01014456,7
E01014457,8
E01014458,1
E01014391,7
E01014392,7
E01014452,9
E01014453,10
E01014454,10
E01014459,6
E01014460,9
E01014415,10
E01014416,7
E01014417,10
E01014387,6
E01014388,10
E01014389,9
E01014390,2
E01014431,3
E01014432,4
E01014433,5
E01014434,8
E01014385,9
E01014386,9
E01014419,6
E01014446,8
E01014447,8
E01014382,9
E01014383,10
E01014384,10
E01014418,9
E01014379,6
E01014442,9
E01014443,7
E01014444,9
E01014445,3
E01014393,10
E01014394,7
E01014439,6
E01014440,8
E01014441,6
E01014448,3
E01014449,6
E01014450,4
E01014451,4
E01014420,7
E01014421,7
E01014422,8
E01014423,5
E01014469,6
E01014470,7
E01014471,5
E01014472,7
E01014424,9
E01014425,7
E01014426,3
E01017540,8
E01017541,7
E01017544,10
E01017545,8
E01017464,10
E01017465,9
E01017503,6
E01017504,9
E01017546,8
E01017547,9
E01017478,7
E01017479,8
E01017480,7
E01017481,6
E01017528,9
E01017495,6
E01017496,8
E01017542,7
E01017543,6
E01033431,6
E01033432,5
E01017453,3
E01017454,6
E01017455,6
E01017456,9
E01017457,7
E01017458,7
E01017529,7
E01017530,9
E01017531,2
E01017532,9
E01017533,9
E01017534,9
E01017488,7
E01017489,2
E01017490,2
E01017491,6
E01017492,1
E01017493,3
E01017459,10
E01017460,8
E01017461,4
E01017462,9
E01017463,8
E01017482,4
E01017483,7
E01017484,9
E01017485,8
E01017497,3
E01017498,6
E01017499,7
E01017500,4
E01017501,5
E01017502,2
E01017524,6
E01017525,5
E01017526,6
E01017527,6
E01017466,2
E01017467,9
E01017468,7
E01017469,6
E01017470,9
E01017471,2
E01017535,4
E01017536,3
E01017537,1
E01017538,3
E01017539,3
E01017518,2
E01017519,1
E01017520,4
E01017521,4
E01017522,2
E01017523,1
E01017472,2
E01017473,2
E01017474,2
E01017475,4
E01017476,4
E01017477,1
E01017509,3
E01017510,5
E01017511,5
E01017512,4
E01017505,4
E01017506,4
E01017507,6
E01017508,5
E01017513,4
E01017514,3
E01017515,3
E01017516,5
E01017517,6
E01017486,5
E01017487,3
E01017548,3
E01017549,8
E01017550,6
E01017551,6
E01017552,4
E01017553,8
E01017554,5
E01000466,3
E01000467,3
E01000468,3
E01000469,5
E01000416,3
E01000418,3
E01000422,1
E01000464,3
E01000465,2
E01000470,1
E01000333,2
E01000335,3
E01000336,2
E01000337,2
E01000338,3
E01000403,2
E01000404,2
E01000405,3
E01000408,3
E01000332,4
E01000402,3
E01000406,4
E01000407,6
E01000334,6
E01000417,5
E01000419,8
E01000420,7
E01000442,5
E01000437,5
E01000438,5
E01000439,3
E01000440,7
E01000441,2
E01000373,2
E01000429,1
E01000430,3
E01000431,1
E01000432,3
E01000433,1
E01000434,3
E01000356,8
E01000357,7
E01000359,8
E01000421,9
E01000450,4
E01000451,5
E01000452,7
E01000367,3
E01000368,2
E01000372,2
E01000380,3
E01000435,2
E01000353,9
E01000354,4
E01000355,8
E01000358,8
E01000436,6
E01000401,2
E01000453,6
E01000454,5
E01000455,8
E01000456,7
E01000325,9
E01000326,5
E01000369,5
E01000370,7
E01000371,6
E01000360,5
E01000362,6
E01000365,4
E01000366,5
E01000394,6
E01000388,7
E01000392,2
E01000409,8
E01000411,6
E01000414,5
E01000415,9
E01000327,8
E01000328,7
E01000329,3
E01000330,5
E01000331,4
E01000340,6
E01000395,9
E01000396,7
E01000410,9
E01000412,7
E01000413,6
E01000374,1
E01000375,3
E01000376,6
E01000377,6
E01000378,6
E01000379,4
E01000348,10
E01000349,9
E01000361,5
E01000363,10
E01000389,5
E01000390,8
E01000393,6
E01000346,8
E01000347,7
E01000350,8
E01000352,5
E01000391,5
E01000341,7
E01000342,8
E01000343,7
E01000345,8
E01000460,9
E01000364,5
E01000444,10
E01000447,6
E01000448,9
E01000449,9
E01000351,8
E01000443,6
E01000445,9
E01000446,10
E01000461,8
E01000339,5
E01000344,8
E01000423,10
E01000425,9
E01000463,7
E01000424,7
E01000426,7
E01000427,7
E01000457,6
E01000462,4
E01000382,9
E01000384,5
E01000387,7
E01000428,1
E01000458,7
E01000459,4
E01000381,4
E01000383,4
E01000385,2
E01000386,2
E01000398,4
E01000399,6
E01000400,5
E01032566,2
E01009417,7
E01009418,5
E01009419,7
E01009433,10
E01009415,10
E01009422,9
E01009423,4
E01009425,9
E01009416,7
E01009420,9
E01009426,9
E01009429,10
E01009431,9
E01009421,10
E01009424,9
E01009427,8
E01009428,10
E01009430,10
E01009468,8
E01009445,2
E01009446,8
E01009447,5
E01009448,3
E01009452,4
E01009455,3
E01009432,4
E01009435,10
E01009437,10
E01009444,10
E01009454,7
E01009221,5
E01009464,8
E01009465,8
E01009467,6
E01009220,4
E01009222,1
E01009224,6
E01009233,2
E01009449,6
E01009451,6
E01009453,9
E01009466,9
E01009471,10
E01009135,6
E01009469,7
E01009470,10
E01009472,10
E01009473,6
E01009474,7
E01009127,1
E01009128,1
E01009130,1
E01009131,1
E01009133,1
E01009134,1
E01009137,1
E01009434,8
E01009436,10
E01009438,10
E01009440,9
E01009450,9
E01009223,5
E01009225,3
E01009227,6
E01009228,4
E01009121,2
E01009122,1
E01009129,1
E01009132,1
E01009136,2
E01009457,8
E01009459,10
E01009461,8
E01009463,9
E01009235,4
E01009243,5
E01009245,5
E01009246,5
E01009247,4
E01009226,4
E01009229,4
E01009230,4
E01009231,5
E01009001,5
E01009003,6
E01009456,9
E01009458,8
E01009460,6
E01009462,7
E01009234,5
E01009236,6
E01009244,7
E01009248,5
E01009403,2
E01009404,2
E01009405,2
E01009406,3
E01009407,2
E01009439,7
E01009441,5
E01009442,8
E01009443,9
E01009123,2
E01009124,1
E01009125,1
E01009232,5
E01009002,1
E01009006,3
E01009007,2
E01033632,1
E01009237,4
E01009238,5
E01009240,3
E01009241,5
E01009242,4
E01009005,3
E01009009,6
E01009098,3
E01009100,3
E01009105,4
E01009126,6
E01009408,2
E01009409,2
E01009410,3
E01009008,6
E01009011,4
E01009012,4
E01009102,1
E01009104,2
E01009096,1
E01009097,1
E01009099,1
E01009101,2
E01009103,1
E01009106,4
E01008915,2
E01009411,5
E01009412,3
E01009413,3
E01009414,2
E01008998,1
E01008999,3
E01009000,1
E01009013,3
E01009400,2
E01009401,2
E01033630,3
E01033646,4
E01009049,4
E01009056,2
E01009263,3
E01009264,3
E01009265,4
E01009051,2
E01009053,1
E01009054,4
E01009058,3
E01009061,3
E01009239,4
E01009266,3
E01009269,1
E01009270,2
E01009271,2
E01009273,2
E01009050,2
E01009057,2
E01009059,2
E01009060,2
E01033621,2
E01009268,5
E01009272,2
E01009274,2
E01009349,1
E01009351,2
E01009354,1
E01008899,1
E01008901,2
E01008916,1
E01033636,2
E01009079,1
E01009080,1
E01009081,1
E01009083,1
E01009275,2
E01009350,2
E01009352,2
E01009353,3
E01009355,2
E01033635,2
E01008905,2
E01008907,2
E01009047,3
E01009048,2
E01009062,3
E01008909,2
E01033628,2
E01033637,1
E01009084,4
E01009085,5
E01009087,4
E01009089,3
E01009090,5
E01009201,1
E01009202,1
E01009203,1
E01009082,2
E01009086,3
E01009480,2
E01009481,3
E01009486,2
E01009487,3
E01009088,3
E01009091,2
E01009305,1
E01009307,1
E01009309,1
E01009304,2
E01009306,1
E01009308,2
E01009310,1
E01009348,2
E01009358,2
E01009359,1
E01009360,1
E01009361,1
E01009478,1
E01009479,2
